Unique.Squirrel.ID,Hectare,Shift,Date,Hectare.Squirrel.Number,Age,Weight,Primary.Fur.Color,Highlight.Fur.Color,Combination.of.Primary.and.Highlight.Color,Color.notes,Location,Above.Ground.Sighter.Measurement,Specific.Location,Running,Chasing,Climbing,Eating,Foraging,Other.Activities,Kuks,Quaas,Moans,Tail.flags,Tail.twitches,Approaches,Indifferent,Runs.from,Other.Interactions
8F-PM-1012-01,08F,PM,10122018,1,Adult,535.1194787,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
5D-PM-1018-05,05D,PM,10182018,5,Juvenile,783.7444119,Gray,,Gray+,,Above Ground,3,,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
34I-PM-1010-06,34I,PM,10102018,6,Adult,353.688356,Gray,,Gray+,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
33E-AM-1014-09,33E,AM,10142018,9,Juvenile,603.5043536,Black,,Black+,,Above Ground,15,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
16D-PM-1010-09,16D,PM,10102018,9,Adult,538.1212604,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
14H-AM-1007-01,14H,AM,10072018,1,Adult,445.3677509,Gray,,Gray+,,Above Ground,180,top of tree,TRUE,FALSE,FALSE,FALSE,FALSE,jumping between branches,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
13H-PM-1010-09,13H,PM,10102018,9,Adult,632.4521964,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
29C-AM-1007-03,29C,AM,10072018,3,Adult,888.2652393,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
12G-PM-1007-05,12G,PM,10072018,5,,714.001622,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
18H-PM-1014-03,18H,PM,10142018,3,Adult,222.6426157,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,
15I-AM-1008-02,15I,AM,10082018,2,Adult,649.2774565,Gray,Cinnamon,Gray+Cinnamon,Could be same squirrel as #1?,Above Ground,4,on fence,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
42C-AM-1007-04,42C,AM,10072018,4,Adult,727.2074466,Gray,"Cinnamon, White","Gray+Cinnamon, White",young adult,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,walking,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
38E-PM-1014-03,38E,PM,10142018,3,,730.6045229,Gray,,Gray+,,Ground Plane,FALSE,THICK UNDERGROWTH,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
39C-AM-1017-04,39C,AM,10172018,4,Adult,529.5156348,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
5C-PM-1010-04,05C,PM,10102018,4,Adult,412.2090159,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
14I-PM-1018-06,14I,PM,10182018,6,Adult,566.2279877,Cinnamon,Black,Cinnamon+Black,,Above Ground,2,,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,
